If you liked (ID),If you liked (Title),Recommendation 1 (ID),Recommendation 1 (Title),Similarity 1,Recommendation 2 (ID),Recommendation 2 (Title),Similarity 2,Recommendation 3 (ID),Recommendation 3 (Title),Similarity 3,Recommendation 4 (ID),Recommendation 4 (Title),Similarity 4,Recommendation 5 (ID),Recommendation 5 (Title),Similarity 5
1006,The Great Library,1379,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,0.2672,2210,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,0.1470,1325,Tango: See more with a new kind of phone,0.1370,1599,"Meet Articoolo, the robot writer with content for brains",0.1363,652,The Secret History of Agile Innovation,0.1304
1007,Um mundo sem barreiras linguísticas através da tecnologia wearable - Startupi,1752,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,0.2552,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.2468,257,O tênue equilíbrio da equipe que desenha produtos digitais,0.2465,1043,Confira as novidades apresentadas no Google I/O 2016,0.2430,3016,Especialistas trazem tendências de UX para 2017 - KingHost,0.2408
1008,Setting up an Android ContentProvider with a join,3060,Java 8 Streams - A Deeper Approach About Performance Improvement,0.1139,1731,"So, You Want A Table, Huh?",0.1127,1732,"So, You Want A Table, Huh?",0.1127,2964,Mastering Bash and Terminal,0.1060,618,"Inside Capacitor, BigQuery's next-generation columnar storage format | Google Cloud Big Data Blog",0.0836
1009,Domain Driven Design e Microservices,1903,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,0.3045,257,O tênue equilíbrio da equipe que desenha produtos digitais,0.2995,2855,Uma arquitetura de referência para a Internet das Coisas - Parte 1,0.2932,1382,[Books] Biblioteca FIXE: Sugestões de Leitura,0.2819,860,Quando o Scrum irá falhar - Tableless,0.2779
1010,Me an' Algernon,687,Being A Developer After 40 - Free Code Camp,0.1356,2994,Seniority,0.1285,1625,10 Simple Habits of Insanely Productive People,0.1185,1401,Beyond Progressive Web Apps Part 2: We Need to Know What's New,0.1176,1902,Ray Kurzweil: The world isn't getting worse - our information is getting better,0.1144
1011,NYT: Google To Announce Alexa Competitor Called 'Google Home' At I/O,2709,Google Home brings Google's smarts to your living room,0.3664,933,Report: Google I/O to focus on voice search as Google preps 'Chirp' competitor to Amazon Echo,0.2844,958,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",0.2793,1300,The battle for the post-digital world,0.2774,1054,"Google's I/O Is a Little Like Disneyland, and a Little Like a Garage Sale",0.2765
1012,Here's How L'Oréal Plans To Continue Its Digital Innovation,2068,The Language of Beauty Ads,0.1278,836,Five priorities for competing in an era of digital globalization,0.0927,2947,Five things to include in your digital transformation playbook,0.0924,1075,State of the Digital Nation 2016,0.0869,525,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",0.0815
1013,"Google I/O 2016: Develop, Grow & Earn",1015,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",0.5818,2372,Android Studio 2.2,0.3764,962,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",0.3742,2420,Novidades do Android Studio 2.2,0.3726,278,Android Studio 2.0 | Android Developers Blog,0.3692
1014,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,1901,Vídeos motivacionais: os 21 vídeos mais incríveis.,0.4510,1943,Dicas para aumentar produtividade: 14 dicas incríveis.,0.4413,860,Quando o Scrum irá falhar - Tableless,0.4324,600,Cinco competências comportamentais para você ser um bom líder,0.4224,2656,O que é benchmarking? Veja quando um concorrente se torna inspiração!,0.4219
1015,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",2372,Android Studio 2.2,0.6363,2420,Novidades do Android Studio 2.2,0.6303,1013,"Google I/O 2016: Develop, Grow & Earn",0.5818,278,Android Studio 2.0 | Android Developers Blog,0.5583,2700,Support Ended for Eclipse Android Developer Tools,0.5534
1016,The Physical Web,1437,The Progress of Web Apps - On the Edge,0.2374,1948,The Business Case for Progressive Web Apps,0.2332,485,Platform Overview,0.2181,1131,Infrequently Noted,0.2001,542,The web is Doom - mobiForge,0.1828
1017,Firebase Test Lab for Android,691,Cookbook,0.3694,278,Android Studio 2.0 | Android Developers Blog,0.3242,1428,One weird trick that will change the way you code forever: JavaScript TDD,0.3147,1342,Clean Coder Blog,0.3120,2420,Novidades do Android Studio 2.2,0.2977
1018,O WhatsApp do Google chegou e se chama Allo,1043,Confira as novidades apresentadas no Google I/O 2016,0.4150,2543,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,0.3448,2351,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,0.3243,1027,Saying �� to Allo and Duo: new apps for smart messaging and video calling,0.3143,1159,7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,0.3127
1019,Do you want Crappy Agile?,3024,12 Agile principles,0.3981,580,Embracing Agile,0.3866,760,An operating model for company-wide agile development,0.2921,787,An operating model for company-wide agile development,0.2921,2315,Dark Scrum,0.2647
1020,Nokia vai voltar ao mercado de smartphones,2882,"SINAIS do FUTURO imediato: #1, internet das coisas",0.2710,2152,Degraus para o sucesso: a inovação no core do negócio,0.2619,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.2595,2571,A saga do jovem CEO da Dasa,0.2543,2684,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",0.2518
1021,"Google Duo, aplicativo de chamadas em vídeo | Google Discovery",2106,Conheça o Google Duo: um app de chamadas de vídeo para todos,0.5719,2078,"Google launches Duo video calling app, a dull cross-OS FaceTime rival",0.4125,1043,Confira as novidades apresentadas no Google I/O 2016,0.3555,944,App do YouTube ganha sistema de bate-papo privado | Google Discovery,0.3416,1751,Hangouts para Android ganha opção de mensagens em vídeo | Google Discovery,0.3351
1022,New ways to keep data flowing between your apps and ours,1024,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,0.3776,1023,"Opening Google Docs, Sheets, and Slides files on mobile now easier when you're offline",0.3461,488,"Choose the Google Docs, Sheets, and Slides files you want to access offline",0.3321,2477,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",0.3203,798,Accept questions from your audience when presenting in Google Slides,0.3161
1023,"Opening Google Docs, Sheets, and Slides files on mobile now easier when you're offline",488,"Choose the Google Docs, Sheets, and Slides files you want to access offline",0.7028,907,Dial in with ease using the latest Google Calendar app for Android,0.4876,2477,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",0.4001,798,Accept questions from your audience when presenting in Google Slides,0.3715,1024,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,0.3465
1024,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,907,Dial in with ease using the latest Google Calendar app for Android,0.3960,1022,New ways to keep data flowing between your apps and ours,0.3776,2477,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",0.3582,1023,"Opening Google Docs, Sheets, and Slides files on mobile now easier when you're offline",0.3465,488,"Choose the Google Docs, Sheets, and Slides files you want to access offline",0.3353
1025,Google supercharges machine learning tasks with TPU custom chip,2150,Google's Tensor Processing Unit explained: this is what the future of computing looks like,0.6025,2252,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",0.4012,2715,How real businesses are using machine learning,0.3972,1495,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",0.3915,2662,Machine Learning Is No Longer Just for Experts,0.3754
1026,Usability Heuristics for Bots - Chatbots Magazine,696,To bot or not to bot,0.4020,1362,How will bots make money? Here are 7 business models,0.3807,2805,Introduction To Chatbots,0.3728,377,Facebook Messenger bots are here and they want to kill apps,0.3408,1297,How bot-to-bot could soon replace APIs,0.3287
1027,Saying �� to Allo and Duo: new apps for smart messaging and video calling,1035,Google isn't abandoning Hangouts for its new chat apps,0.5464,2078,"Google launches Duo video calling app, a dull cross-OS FaceTime rival",0.4784,2446,"Google saves Allo conversations, a win for machine learning but a loss for privacy - Tech2",0.3475,1021,"Google Duo, aplicativo de chamadas em vídeo | Google Discovery",0.3192,1018,O WhatsApp do Google chegou e se chama Allo,0.3143
1028,Natura está em busca de startups para gerar novos projetos e produtos - Startupi,2735,Natura inova e cria bot para auxiliar consumidores a escolherem presentes de natal - Startupi,0.4586,2006,App da Natura ganha recurso que permite pesquisar consultoras e pontos de venda mais próximos,0.3059,1925,Olhando para o futuro: 5 pontos de atenção,0.2891,1382,[Books] Biblioteca FIXE: Sugestões de Leitura,0.2877,2152,Degraus para o sucesso: a inovação no core do negócio,0.2861
1029,Google IO 2016: A look at how not to run a large event,958,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",0.1327,964,Get ready for Google I/O 2016,0.1270,970,New Sessions Added To Google I/O 2016 Schedule,0.1203,962,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",0.1174,605,What the Google I/O schedule tells us about the future of Android,0.1062
1030,Alecrim/AlecrimCoreData,1978,Building immutable entities into Google Cloud Datastore,0.1692,2367,Exploring Java's Hidden Costs,0.1326,2540,Real World Swift Performance,0.1269,2541,Real World Swift Performance,0.1269,1088,SwiftyDB - An alternative for managing SQLite Databases on iOS,0.1257
1031,Chat Smarter with Allo,1027,Saying �� to Allo and Duo: new apps for smart messaging and video calling,0.2893,1647,"Deep Learning for Chatbots, Part 1 - Introduction",0.2746,1648,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",0.2677,2525,Graph-powered Machine Learning at Google,0.2217,2446,"Google saves Allo conversations, a win for machine learning but a loss for privacy - Tech2",0.1864
1032,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,2339,Bayer anuncia compra da Monsanto por US$ 66 bilhões,0.5288,2353,"Heroína, nazistas e agente laranja: por dentro da fusão do ano",0.4436,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.2639,2571,A saga do jovem CEO da Dasa,0.2444,1191,Por que o Walmart não é Walmart no Brasil,0.2332
1033,What is WebAssembly? The Dawn of a New Era - JavaScript Scene,2690,WebAssembly Browser Preview,0.4956,2123,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,0.2275,1602,Leveling Up Your JavaScript -,0.1753,1600,A Baseline for Hybrid Mobile Developers,0.1620,2505,How it feels to learn Javascript in 2016,0.1501
1034,Progressive Web App - first introduced on Google I/O | airberlin,1516,Caching best practices & max-age gotchas,0.2769,1884,Separating Concerns through Service Worker Helpers - Ben and Dion,0.2630,1948,The Business Case for Progressive Web Apps,0.2612,2924,Road to Polymer 2.0,0.2569,2120,Building Flipkart Lite: A Progressive Web App,0.2409
1035,Google isn't abandoning Hangouts for its new chat apps,1027,Saying �� to Allo and Duo: new apps for smart messaging and video calling,0.5464,2078,"Google launches Duo video calling app, a dull cross-OS FaceTime rival",0.4192,2139,Google's Hangouts still has a future: as an enterprise communication app,0.3084,1108,Google's artificial intelligence is going in the wrong direction,0.2755,1018,O WhatsApp do Google chegou e se chama Allo,0.2704
1036,The Year in Design - Zeldman on Web & Interaction Design,2776,Time to Re-Think Design Thinking,0.3196,234,The Future of Business is Design,0.2764,1791,What exactly is a design culture? ,0.2313,1951,Three Lessons for Design-Driven Success,0.2211,1292,Design Patterns: Progressive Disclosure for Mobile Apps,0.2207
1037,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,2843,Browser Trends December 2016: Mobile Overtakes Desktop,0.2991,2231,Introducing Casting into Hangouts,0.1742,884,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,0.1489,1344,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",0.1387,563,Chrome OS now has Material Design for the desktop,0.1351
1038,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,1343,Android irá recomendar aplicativos baseado na localização | Google Discovery,0.3805,1205,Ouça a música criada pela inteligência artificial do Google | Google Discovery,0.3646,944,App do YouTube ganha sistema de bate-papo privado | Google Discovery,0.3429,632,"Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery",0.3385,2023,"Inbox by Gmail ganha integração com Trello, GitHub e Google Alerts | Google Discovery",0.3375
1039,Um objeto longínquo mais distante que Plutão está entrando em foco,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.2481,2882,"SINAIS do FUTURO imediato: #1, internet das coisas",0.2402,2152,Degraus para o sucesso: a inovação no core do negócio,0.2184,2251,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",0.2165,2684,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",0.2161
1040,Patente do Google prevê carro que gruda pedestres atingidos no capô,2017,Crianças esquecidas no carro: quando nem a tecnologia pode ajudar | Tecnoblog,0.4119,1752,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,0.3855,2101,Como nasce um carro. | Volkswagen Magazine,0.3791,2754,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,0.3741,1043,Confira as novidades apresentadas no Google I/O 2016,0.3716
1041,Google moves to replace Flash with HTML5,2439,The Truth About Multiple H1 Tags in the HTML5 Era,0.2765,57,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",0.2313,1666,"Globo.com Uses NGINX for Streaming Media to 500,000+ Viewers",0.1900,865,[Tools] 12 Apps for Live-streaming Video,0.1469,2036,Globo.com ramps up live streaming for Olympic Games | ZDNet,0.1211
1042,Portugal runs for four days straight on renewable energy alone,1973,Serious Business: Should Renewable Energy Continue Receiving Government Subsidies?,0.2855,117,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.2326,444,Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,0.2167,142,Google shares data center security and design best practices,0.1578,1837,"Google unleashes DeepMind on energy-hungry datacenter, cutting cooling bill by 40 percent",0.1575
1043,Confira as novidades apresentadas no Google I/O 2016,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.5129,3016,Especialistas trazem tendências de UX para 2017 - KingHost,0.4870,2754,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,0.4820,2882,"SINAIS do FUTURO imediato: #1, internet das coisas",0.4808,1752,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,0.4789
1044,São Paulo recebe maior evento nacional voltado à educação e discute tecnologia no setor - Startupi,1752,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,0.4211,2754,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,0.4197,1943,Dicas para aumentar produtividade: 14 dicas incríveis.,0.4057,600,Cinco competências comportamentais para você ser um bom líder,0.4042,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.4022
1045,Sem Parar vs Conectcar,1045,Sem Parar vs Conectcar,1.0000,1046,Sem Parar vs Conectcar - DanBP.org,1.0000,1345,Apple e Google querem que você pague por assinatura em apps,0.1861,2543,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,0.1841,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.1771
1046,Sem Parar vs Conectcar - DanBP.org,1045,Sem Parar vs Conectcar,1.0000,1046,Sem Parar vs Conectcar - DanBP.org,1.0000,1345,Apple e Google querem que você pague por assinatura em apps,0.1861,2543,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,0.1841,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.1771
1047,"Tenho várias ideias de negócios, qual devo levar adiante?",1901,Vídeos motivacionais: os 21 vídeos mais incríveis.,0.5564,2543,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,0.5424,600,Cinco competências comportamentais para você ser um bom líder,0.5302,1159,7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,0.5239,931,Design Sprint: onde o design e a velocidade importam,0.5139
1048,7 Powerful Habits That Make You More Assertive,1404,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,0.2032,2994,Seniority,0.1651,2766,The Three Language Acquisition Stages,0.1517,2546,Stop Trying to Sound Smart When You're Writing,0.1451,2345,So long MVP. Hello Minimum Loveable Product.,0.1365
1049,La RAE lucha contra los anglicismos con una campaña de publicidad,593,Costa Rica presenta su primer edificio construido con tetra pak reciclado,0.4786,2269,Adobe CQ/Adobe AEM,0.2186,2656,O que é benchmarking? Veja quando um concorrente se torna inspiração!,0.0703,194,"Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft",0.0702,719,This Japanese Restaurant Is Decked out With Yakuza-Inspired Tattoo Art | Highsnobiety,0.0664
1050,The Top 10 Companies Millennials Want to Work For,910,What Millennials Want from a New Job,0.2896,1577,"Millennials Don't Care About Owning Cars, And Car Makers Can't Figure Out Why",0.1986,2125,Living the Millennial Dream - ABODO,0.1840,2747,Marketing To Millennials: 'Dope' Takeaways From 'Just Dance 2017',0.1819,2741,We are on the verge of a consumer M&A avalanche,0.1678
1051,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",366,"7 dicas, macetes e apps que uso para organizar o meu dia e ser mais produtivo no trabalho",0.5362,1943,Dicas para aumentar produtividade: 14 dicas incríveis.,0.4639,1382,[Books] Biblioteca FIXE: Sugestões de Leitura,0.4624,3016,Especialistas trazem tendências de UX para 2017 - KingHost,0.4615,2393,OKR e meta: minha experiência no Runrun.it,0.4553
1052,Senado lança enquete para saber se você é contra ou a favor a franquia de dados para internet fixa,730,Por que a limitação da banda larga é uma forma de ignorar o futuro,0.1671,1487,#Sentaquelávemtextão,0.1629,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.1597,2622,"Como a inteligência artificial já muda mercados, da gastronomia ao petróleo - Startupi",0.1578,1943,Dicas para aumentar produtividade: 14 dicas incríveis.,0.1555
1053,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more",1326,Google Unveiled A Partnership With Levi's To Create Smart Clothing,0.3537,1471,Cannes Lions 2016: Tecido tecnológico do Google leva GP de Product Design,0.1461,2744,Introducing the new Google Play Music,0.1282,958,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",0.1261,676,This year's Founders' Letter,0.1146
1054,"Google's I/O Is a Little Like Disneyland, and a Little Like a Garage Sale",884,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,0.3611,962,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",0.3401,958,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",0.3116,985,8 things to expect from Google's biggest event of the year,0.3017,1108,Google's artificial intelligence is going in the wrong direction,0.2946
1055,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",1343,Android irá recomendar aplicativos baseado na localização | Google Discovery,0.3382,632,"Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery",0.3246,2023,"Inbox by Gmail ganha integração com Trello, GitHub e Google Alerts | Google Discovery",0.3202,1324,Inbox by Gmail ganha formatação de texto | Google Discovery,0.3170,805,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",0.3139
1056,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,362,Vision API - Image Content Analysis,0.3251,2418,"How to build a robot that ""sees"" with $100 and TensorFlow",0.2632,2432,"How to build a robot that ""sees"" with $100 and TensorFlow",0.2632,701,Why image recognition is about to transform business,0.2496,2761,"Google Cloud Machine Learning family grows with new API, editions and pricing",0.2252
1057,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",1324,Inbox by Gmail ganha formatação de texto | Google Discovery,0.3476,2758,Google lança experimentos com inteligência artificial | Google Discovery,0.3459,944,App do YouTube ganha sistema de bate-papo privado | Google Discovery,0.3384,1100,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,0.3320,1343,Android irá recomendar aplicativos baseado na localização | Google Discovery,0.3305
1058,Irresistível: cebola recheada com carne moída e enrolada no bacon,211,Conheça as 10 profissões mais felizes e infelizes do mundo,0.2655,650,Steak Tartare com Salada Verde,0.1549,908,Baião de Dois - uma delicia brasileiríssima,0.1488,649,Bolinho de Arroz sem Glúten - facílimo de fazer!,0.1256,2543,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,0.1222
1059,"The price of Ether, a bitcoin rival, is soaring because of a radical, $150 million experiment",1283,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,0.6437,18,Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,0.3566,230,Gold Backed Digix Raises Millions in Hours on Ethereum Blockchain Crowdsale,0.2319,461,Spring DAO vs Spring ORM vs Spring JDBC,0.2262,131,"Eyeing Volume, Asian Exchanges Add Support for Ether Trading - CoinDesk",0.2090
1060,Uber começa testes de carros sem motorista nos EUA,2205,Por que o Uber vem sofrendo tanto prejuízo entre empresas de tecnologia,0.3663,2457,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,0.3004,1925,Olhando para o futuro: 5 pontos de atenção,0.2962,1864,Testes unitários vs aceitação - Android Dev BR,0.2859,1787,O raio-x financeiro das empresas fofas,0.2837
1061,Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,1382,[Books] Biblioteca FIXE: Sugestões de Leitura,0.4064,1903,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,0.3218,3016,Especialistas trazem tendências de UX para 2017 - KingHost,0.3000,1943,Dicas para aumentar produtividade: 14 dicas incríveis.,0.2869,1051,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",0.2861
1062,Adulterated Objective-C,264,Google may be considering Swift for use on Android,0.3085,1200,Apple Releases First Preview of Swift 3.0 for Developers,0.3004,1005,C# vs. Swift - Iron Man vs. Captain America,0.2403,2206,Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,0.1973,3116,Swift Top 10 Articles For The Past Year (v.2017),0.1970
1063,ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,1987,Sesi oferece curso de LIBRAS com certificação de 40 horas,0.2600,860,Quando o Scrum irá falhar - Tableless,0.2458,2536,TI Bimodal? Receita para o desastre...,0.2343,1382,[Books] Biblioteca FIXE: Sugestões de Leitura,0.2273,2961,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados,0.2204
1064,Firebase and Google Cloud: better together,594,Android Quickstart - Firebase,0.6302,1219,Top 10 GCP sessions from Google I/O 2016,0.3755,1749,Código Google: Introdução da próxima geração do Google Tag Manager e do Tag Manager 360 para Mobile Apps,0.3613,1013,"Google I/O 2016: Develop, Grow & Earn",0.3216,3051,8 must-see sessions for application developers at Google Cloud Next '17,0.3132
1065,The rise of APIs,2683,A Tale of 2 API Platforms - GGV Capital,0.3323,202,The Rise of the API-based SaaS,0.3289,2918,Most Interesting APIs in 2016: Cognitive Computing,0.2669,2168,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,0.2480,2579,Assessing Salesforce's platform and ecosystem | ZDNet,0.2297
1066,Cinco dicas de executivos de sucesso para se dar bem na vida e no trabalho,1159,7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,0.4443,1724,A minha viagem à Maternidade #tetodomundo,0.4265,366,"7 dicas, macetes e apps que uso para organizar o meu dia e ser mais produtivo no trabalho",0.4084,1943,Dicas para aumentar produtividade: 14 dicas incríveis.,0.4034,1570,Como ser menos ocupado em um mundo ocupado,0.3800
1067,Here are the SDKs Top Mobile Apps Use,1747,This Tiny Robot Lets You Play God With Huge AI,0.2492,2225,Test and deploy to Google App Engine with the new Maven and Gradle plugins,0.2231,728,Qualcomm Snapdragon 820 Deep Learning SDK Nudges Local Neural Nets Closer To Mainstream,0.2178,726,Qualcomm's deep learning SDK will mean more AI on your smartphone,0.1974,2978,Google's Firebase Team Picks Up Twitter's Fabric,0.1933
1068,20 Percent Will Stop Reading Your Email If You Make This One Mistake,674,Email Isn't The Thing You're Bad At,0.3369,1285,Hiri wants to fix the workplace email problem,0.2862,2165,AI Is Here to Help You Write Emails People Will Actually Read,0.2767,1291,Measuring email effectiveness in retail banking,0.2003,1708,Certeza que devemos marcar uma reunião?,0.1893
1069,Program your way to your next grocery delivery,694,Google's OnHub router finally gets some smart home features via IFTTT,0.2264,876,Amazon has a huge opportunity in grocery delivery,0.1046,624,"5 awesome Google Keep features you aren't using, but should be",0.0887,1857,How A.I. and chatbots can help retailers create unique in-store experiences,0.0709,2465,The future of traditional retail is digital,0.0668
1070,Como aumentar a produtividade da Inovação?,1925,Olhando para o futuro: 5 pontos de atenção,0.4829,860,Quando o Scrum irá falhar - Tableless,0.4586,1382,[Books] Biblioteca FIXE: Sugestões de Leitura,0.4461,582,"diagramas para entender, criar, inovar e empreender: 3",0.4447,1184,Estratégia da Nestlé | Endeavor Brasil,0.4401
1071,A study on scale: WhatsApp & Google Drive... the story of our integration,420,Facebook's WhatsApp does something very different than Google,0.3252,554,"Google Drive grows more powerful, feature by feature - TechRepublic",0.3009,893,WhatsApp just released desktop apps for Mac and Windows,0.2934,2045,[Security] How to Set Expiration Dates for Shared Google Drive Files,0.2396,837,Google connects BigQuery to Google Drive and Sheets,0.2352
1072,Astronomia: A semana de Marte - Mensageiro Sideral,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.2373,1943,Dicas para aumentar produtividade: 14 dicas incríveis.,0.2089,2684,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",0.2006,1132,Lições de empreendedorismo com a série The 100,0.1990,3016,Especialistas trazem tendências de UX para 2017 - KingHost,0.1990
1073,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,884,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,0.4731,985,8 things to expect from Google's biggest event of the year,0.4631,710,How Android gets to 100% market share,0.4570,958,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",0.4536,1015,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",0.4450
1074,"Google's head of advertising talks ad blocking, mobile and micropayments",880,Mobile marketing statistics 2016,0.2234,772,Google : End Of The Online Advertising Bubble,0.2137,676,This year's Founders' Letter,0.1831,1530,"Telecoms open shop on Madison Avenue, but will brands buy?",0.1722,2467,Breaking: Apple's Search Ads go LIVE!,0.1624
1075,State of the Digital Nation 2016,1950,Can Accenture Take Over Advertising?,0.4077,1675,Organizing for digital acceleration: Making a two-speed IT operating model work,0.4009,2482,The new tech talent you need to succeed in digital,0.3415,2345,So long MVP. Hello Minimum Loveable Product.,0.3263,3063,How to get the most from your agency relationships in 2017,0.3075
1076,Aposta na inovação,2571,A saga do jovem CEO da Dasa,0.3402,2251,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",0.3397,2684,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",0.3361,1191,Por que o Walmart não é Walmart no Brasil,0.3354,1051,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",0.3140
1077,Se eu fosse fundar uma nova agência... - Meio & Mensagem,986,Meio&Mensagem,0.5806,1832,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",0.5016,2882,"SINAIS do FUTURO imediato: #1, internet das coisas",0.5012,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.4900,1752,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,0.4830
